,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Retour au menu ""Films en salles""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Films en première exclusivité en salles selon la nationalité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nombre de films,France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
2002,324.7,240.0,69.5,15.2,485.3,8.3,0.1,,13.3,50.0,,0.1,2.0,0.2,,,0.2,0.0,0.0,0.2,0.3,0.0,0.1,,,,0.0,0.2,0.3,0.0,48.0,933.5
2003,324.6,220.8,85.5,18.3,503.8,8.8,0.0,0.5,2.5,30.0,,,2.5,0.1,,,0.6,0.1,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.2,0.0,53.9,927.9
2004,419.0,203.1,210.2,5.8,517.0,8.3,0.3,0.3,7.0,80.4,,,1.2,,,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,0.0,0.0,0.2,0.0,27.6,"1,062.1"
2005,342.1,217.7,106.7,17.7,444.9,7.9,0.0,0.5,1.6,138.2,,0.1,3.5,,,,1.2,,0.2,0.0,0.0,0.8,3.5,,,0.2,0.2,0.1,2.8,0.1,6.4,954.4
2006,479.1,346.0,105.7,27.5,467.4,3.5,0.3,0.3,18.2,59.0,0.0,0.1,1.3,0.8,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.8,2.9,1.4,0.5,0.0,0.3,0.1,3.6,0.0,6.9,"1,049.9"
2007,336.6,234.6,79.0,22.9,497.8,12.4,0.0,0.3,1.1,97.5,0.0,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,1.3,7.3,1.1,0.0,0.0,0.0,0.0,2.0,0.4,7.7,967.0
2008,489.4,367.7,107.6,14.1,469.6,5.3,1.6,0.0,18.5,56.5,0.0,0.3,6.0,0.0,0.1,0.1,0.5,0.2,0.1,5.6,0.8,1.3,0.6,0.7,0.0,0.0,0.0,0.4,0.5,0.1,8.0,"1,066.4"
2009,411.9,286.0,108.7,17.2,613.3,7.8,0.1,0.1,12.0,78.6,0.1,0.0,1.4,0.0,0.2,0.0,0.1,7.5,0.1,10.9,0.4,0.4,1.1,0.7,0.0,3.4,0.0,1.0,8.0,0.1,4.2,"1,163.5"
2010,418.1,315.8,74.0,28.4,559.0,1.9,9.1,0.5,14.3,149.3,0.0,0.2,2.8,0.0,0.1,0.0,0.7,2.6,0.2,4.5,0.1,0.8,0.3,2.2,0.4,0.0,0.3,0.0,0.7,0.3,2.7,"1,171.0"
2011,515.6,362.8,118.9,34.0,616.6,9.7,0.1,0.6,16.5,100.2,0.1,0.5,1.6,0.0,0.4,0.0,0.3,0.4,0.2,7.8,0.1,0.0,1.6,0.6,0.0,0.0,0.0,5.9,5.8,0.1,3.2,"1,288.0"
2012,457.8,313.7,113.7,30.4,533.7,2.3,1.1,2.0,6.3,130.9,0.0,0.2,4.1,0.0,0.1,0.1,1.2,0.0,0.1,0.9,0.1,5.0,0.2,0.6,1.4,0.0,0.3,0.5,4.1,0.7,26.7,"1,180.3"
2013,366.3,248.1,99.4,18.8,649.3,9.2,4.0,3.4,8.5,57.1,0.6,0.0,0.5,0.1,0.0,0.0,0.0,0.2,0.8,7.5,0.0,10.7,2.1,2.7,0.0,0.0,0.3,0.0,3.4,0.2,22.5,"1,149.4"
2014,532.7,374.8,135.1,22.7,572.4,10.8,0.4,1.2,1.7,38.3,0.0,0.1,1.3,0.0,3.2,0.0,1.1,1.3,0.6,1.3,1.3,6.8,1.6,0.3,0.0,0.0,0.4,0.0,5.7,0.5,33.3,"1,216.4"
2015,376.5,259.7,87.7,29.0,671.7,12.9,0.0,0.4,3.5,92.4,0.0,0.0,1.7,0.2,0.0,0.1,0.5,0.1,0.2,17.9,1.0,1.3,0.3,0.3,0.0,0.0,0.6,3.8,4.5,0.0,7.7,"1,197.6"
2016,432.3,277.4,113.4,41.5,704.2,13.5,2.9,1.8,8.2,87.3,0.0,0.7,0.6,0.1,0.0,0.0,0.1,0.1,0.0,0.2,1.4,2.6,0.3,4.3,0.1,0.0,1.7,0.5,1.6,0.1,5.9,"1,270.5"
2017,461.0,373.1,74.1,13.8,636.1,1.5,4.6,0.7,4.5,128.0,0.0,0.4,0.7,0.2,0.3,0.0,0.1,3.4,0.2,12.3,0.0,0.6,0.1,6.2,0.0,0.0,0.8,0.6,3.7,0.5,6.4,"1,273.0"
2018,453.6,383.9,42.3,27.4,549.2,8.4,2.5,2.7,7.5,138.0,0.0,0.6,1.7,0.1,0.0,0.0,2.0,0.3,0.3,1.0,0.0,1.1,2.2,1.8,0.1,0.0,1.1,1.4,7.6,0.0,12.1,"1,195.4"
2019,431.1,313.8,97.1,20.2,773.4,6.4,7.2,0.7,8.8,57.9,0.0,1.9,1.1,0.1,0.0,0.0,1.3,1.2,1.6,0.0,0.7,5.0,1.0,12.2,0.0,0.0,1.7,0.0,6.3,0.1,7.2,"1,327.0"
2020,160.7,114.0,38.0,8.7,143.7,1.9,0.0,3.4,1.1,27.4,0.0,0.2,0.3,0.0,1.8,0.0,0.4,0.0,0.0,1.1,0.0,1.1,2.0,3.1,0.0,0.0,0.2,0.0,2.8,0.1,2.0,353.5
*résultats enregistrés lors de leur année de sortie en salles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
séances (milliers),France,100%,majoritaires,minoritaires,Etats-Unis,Allemagne,Belgique,Danemark,Espagne,Grande-Bretagne,Grèce,Irlande,Italie,Pays-Bas,Pologne,République Tchèque,Russie,Suède,Suisse,Australie,Brésil,Canada,Chine,Corée du Sud,Egypte,Hong Kong,Inde,Iran,Japon,Mexique,Autres nationalités,total
1996,"1,319.9",880.5,282.7,156.7,"1,993.6",19.2,,,17.6,177.8,0.1,0.9,2.6,1.1,0.1,,0.6,0.1,0.5,1.1,,0.0,0.0,0.4,0.0,0.3,0.0,1.9,6.0,0.3,56.7,"3,600.9"
1997,"1,374.3","1,109.8",188.4,76.1,"1,982.2",10.4,0.2,,4.0,300.3,,15.4,3.2,9.8,0.7,,0.1,,0.0,0.4,0.0,0.7,0.4,,,0.3,0.3,0.2,0.7,0.1,162.0,"3,865.9"
1998,"1,249.2","1,049.4",132.2,67.6,"2,433.8",13.6,0.1,2.2,8.7,209.3,0.1,19.8,79.6,1.9,,,0.1,,0.2,0.4,0.2,5.2,,,,3.8,0.1,4.0,8.2,,32.4,"4,073.0"
1999,"1,623.5",967.8,510.0,145.8,"2,322.3",40.0,1.7,3.4,7.7,361.1,0.3,7.9,12.6,1.0,0.2,0.1,0.3,,0.4,,,0.1,1.3,,,,,0.1,6.2,0.4,100.2,"4,490.6"
2000,"1,354.4","1,003.2",288.6,62.7,"2,873.5",33.9,0.9,2.7,7.0,199.7,,21.1,8.0,0.8,0.4,0.6,3.2,8.4,0.1,0.0,0.2,0.3,0.9,,0.0,0.1,0.0,0.2,9.3,,154.6,"4,680.1"
